Timestamp,SourceExecutionId,ClusteringId,K,Kappa,DistanceMetric,SilhouetteIndex
Tue Nov 30 08:29:04 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,481e750a-8550-4b31-8b26-fe5a0c16b2ec,16,20,net.sf.javaml.distance.CosineDistance,0.330116522117035
Tue Nov 30 08:29:03 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,d8f8267e-0c7f-492e-bb9a-8b09af126404,18,20,net.sf.javaml.distance.CosineDistance,0.328479318633368
Mon Nov 29 10:13:33 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,6e559b10-84d0-419a-bd61-7e02c2baeb3a,10,1,net.sf.javaml.distance.CosineDistance,0.326441962149313
Tue Nov 30 08:29:03 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,c9164b89-4a0b-4f64-9a09-99e771789681,19,20,net.sf.javaml.distance.CosineDistance,0.323085594256968
Mon Nov 29 10:22:46 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,9f0fb9f1-4cad-4ea4-9dfe-01684a3dd25d,7,1,net.sf.javaml.distance.CosineDistance,0.320992624879369
Mon Nov 29 10:10:42 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,fbf7999e-3ca4-4eb1-b0c0-d25dfb488514,11,1,net.sf.javaml.distance.CosineDistance,0.320833503784027
Tue Nov 30 08:28:19 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,a2f661ef-bc28-4be0-ae66-27afd79ec690,17,10,net.sf.javaml.distance.CosineDistance,0.319642389680918
Sun Nov 28 18:13:22 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,71a25bcc-c043-408e-ba17-7d25eb051375,4,5,net.sf.javaml.distance.CosineDistance,0.31921480588279
Mon Nov 29 10:19:44 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,40bb75d6-5404-4352-b316-c1c7cbcb31b4,8,1,net.sf.javaml.distance.CosineDistance,0.318251606529847
Tue Nov 30 08:27:55 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,82883533-685d-44d5-a304-3756aeddc17d,19,5,net.sf.javaml.distance.CosineDistance,0.31562491573341
Mon Nov 29 11:04:55 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,3b392485-1548-406a-a17a-1b96f37434d0,14,5,net.sf.javaml.distance.CosineDistance,0.313371569198002
Sun Nov 28 19:28:54 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,a5d3ec65-6b73-417a-8af1-59146abb8717,6,10,net.sf.javaml.distance.CosineDistance,0.313015681852469
Mon Nov 29 10:02:31 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,57b97867-61ed-4c0c-99d4-48a95f08dd3d,14,1,net.sf.javaml.distance.CosineDistance,0.310449200162822
Sun Nov 28 18:20:43 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,2ad8777a-9c95-4132-9c97-1549168720fd,3,5,net.sf.javaml.distance.CosineDistance,0.307684345864493
Sun Nov 28 18:05:41 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,4037ab44-40ff-45b4-8858-8a6e952e0b69,5,5,net.sf.javaml.distance.CosineDistance,0.307145973013902
Mon Nov 29 12:13:30 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,ff417597-6464-41a0-86f0-96dd66cb23fe,13,10,net.sf.javaml.distance.CosineDistance,0.306725082887636
Tue Nov 30 08:28:20 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,72504532-2586-42c9-998b-fbe5c6ac5895,14,10,net.sf.javaml.distance.CosineDistance,0.305472713742911
Sun Nov 28 18:48:54 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,718b0c0c-86ec-4c72-84be-8a02cf2193f0,16,10,net.sf.javaml.distance.CosineDistance,0.305030764721913
Sun Nov 28 17:36:54 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,6edc50e3-ac16-4fae-96cf-9a9f1c7d34d1,11,5,net.sf.javaml.distance.CosineDistance,0.304320768805568
Sun Nov 28 18:45:46 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,8171c5ec-fde7-431c-a3be-617402e2eaa1,17,10,net.sf.javaml.distance.CosineDistance,0.304112734926911
